pdf_name,total_elements,total_headings,mean_confidence,json_file
file02,50,47,0.6304459043627076,file02.json
Gmail - Welcome to NPTEL Online Course _ Developing Soft Skills and Personality,8,1,0.2809915031464138,Gmail - Welcome to NPTEL Online Course _ Developing Soft Skills and Personality.json
South of France - Cities,37,10,0.39502943229231147,South of France - Cities.json
South of France - Cuisine,8,5,0.3963675606005128,South of France - Cuisine.json
South of France - History,43,10,0.4000285049750171,South of France - History.json
South of France - Things to Do,113,18,0.3885500246351643,South of France - Things to Do.json
South of France - Tips and Tricks,113,13,0.3760941157420885,South of France - Tips and Tricks.json
South of France - Traditions and Culture,26,1,0.3486425314909741,South of France - Traditions and Culture.json
Vivek_Bhalke_Resume,22,18,0.42068393662880293,Vivek_Bhalke_Resume.json
